,Effectsize_ID,summary_statistic,effect_size,First_author,Year_published,Title,Paper_ID,Study_ID,Group_ID,Group_ID_notes,Species,Class,Rearing_type,Competition_order,Competition_order_notes,Perception_competition,Perception_competition_notes,Precendence,Precedence_notes,Fertilisation_mode,PC_variation_level,PC_variation_level_note,PC_variation_cause,PC_variation_notes,PC_variation_cause2,PC_variation_notes2,PC_variation_nature,Study_design,Study_design_notes,Fertilisation_methods,PC_type,PC_type_notes,Precop_correlation,Precop_correlation_notes,Postcop_correlation,Postcop_correlation_notes,Coin,Coin_notes,Inverse_precedence,Inverse_precedence_notes,N,N_notes,N_dependent,Corr_r,estimate,SE,n_groups,n_groups_notes,CI_lower,CI_upper,F,F_direction,F_n_goups,t,t_n_groups,p,mean_low,n_low,SD_low,SE_low,mean_med1,n_med1,SD_med1,mean_med2,n_med2,SD_med2,mean_high,n_high,SD_high,SE_high,Data_location,Notes,effect_size_group2,effect_size_est,effect_size_t,effect_size_F,effect_size_p,effect_size2,N2,yi,vi
1,1,effect_size_group2,-0.139392195,Calos,1998,Paternity of offspring in multiply-mated female crickets: The effect of nuptial food gifts and the advantage of mating first,1,1,1,NA,Gryllodes_sigillatus,Insecta,4,1,NA,4,Not clear how males were housed,1,based on Table 1,1,1,NA,1,Selected males with either small or large spermatophores,1,NA,1,4,males split into large and small spermatophore groups but ejaculates not directly measured from each male,1,6,NA,5,selected males ofsmale body size,1,NA,1,NA,1,NA,26,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,13,0.216333077,0.06,NA,NA,NA,NA,NA,NA,0.61,13,0.216333077,0.06,Table 1,compared when large and small gift males were the first to mate,-0.139392195,NA,NA,NA,NA,-0.139392195,26,-0.140305674,0.043478261
2,2,effect_size_group2,0.111762878,Calos,1998,Paternity of offspring in multiply-mated female crickets: The effect of nuptial food gifts and the advantage of mating first,1,1,2,NA,Gryllodes_sigillatus,Insecta,4,2,NA,4,Not clear how males were housed,1,based on Table 1,1,1,NA,1,Selected males with either small or large spermatophores,1,NA,1,4,males split into large and small spermatophore groups but ejaculates not directly measured from each male,1,6,NA,5,selected males ofsmale body size,1,NA,1,NA,1,NA,26,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,13,0.216333077,0.06,NA,NA,NA,NA,NA,NA,0.38,13,0.216333077,0.06,Table 1,compared with large and smal gift males were the second to mate,0.111762878,NA,NA,NA,NA,0.111762878,26,0.112231738,0.043478261
3,4,effect_size_F,0.748214702,Yeates,2009,Atlantic salmon eggs favour sperm in competition that have similar major histocompatibility alleles,2,2,3,NA,Salmo_salar,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,NA,1,NA,1,NA,1,NA,1,NA,18,nine pairs of males,dependent,NA,NA,NA,NA,NA,NA,NA,8.86,positive,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,0.748214702,NA,0.748214702,9,0.968886821,0.166666667
4,5,Corr_r,0.39,Rosengrave,2016,Cryptic female choice enhances fertilization success and embryo survival in Chinook Salmon,3,3,4,NA,Oncorhynchus_tshawytscha,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,2,NA,2,4,difference in VAP between males,1,NA,1,NA,1,NA,1,NA,90,"90 trials with 28 individuals, but each trial was a different combination of individuals",dependent,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1; Fig 1 (metadigitise),NA,NA,NA,NA,NA,NA,0.39,45,0.411800034,0.023809524
5,6,Corr_r,0.4,Evans,2013,Delineating the roles of males and females in sperm competition,4,4,5,NA,Oncorhynchus_tshawytscha,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,2,NA,2,4,NA,5,body size in model,1,NA,1,NA,1,NA,20,Taken from Fig. 3. High velocity - low velocity,independent,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3,NA,NA,NA,NA,NA,NA,0.4,20,0.42364893,0.058823529
6,7,Corr_r,0.208,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,20,NA,independent,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.208,20,0.211079993,0.058823529
7,8,Corr_r,-0.168,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,head,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.168,20,-0.169607861,0.058823529
8,9,Corr_r,-0.124,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,midpiece,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.124,20,-0.12464147,0.058823529
9,10,Corr_r,0.218,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,1,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,tail,1,NA,1,NA,1,NA,1,NA,20,NA,independent,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,0.218,20,0.221555354,0.058823529
10,11,Corr_r,-0.277,Kahrl,2015,Diet affects ejaculate traits in a lizard with condition-dependent fertilization success,5,5,6,NA,Anolis_sagrei,Reptilia,2,2,NA,2,NA,3,based on Fig.4,1,1,NA,6,A mixtured of dietary manipulations and natural variation,1,NA,3,2,NA,1,3,midpiece,1,NA,1,NA,1,NA,1,NA,20,NA,independent,-0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authors sent correlations,NA,NA,NA,NA,NA,NA,-0.277,20,-0.284429817,0.058823529
